region,2017,2018,2019,2020,2021,2022
Псковская область,104.67833333333333,105.03416666666668,103.3775,100.35916666666668,104.2791666666667,104.64
Псковская область,105.61916666666666,103.19583333333333,104.99416666666669,100.47000000000001,103.01916666666666,102.25666666666666
Псковская область,104.98833333333334,103.79416666666667,103.59583333333332,100.40500000000002,103.61916666666666,102.58833333333335
Псковская область,105.5,102.86333333333334,101.20999999999998,99.36166666666664,102.66833333333334,101.89749999999998
Псковская область,104.46583333333332,104.0,102.76833333333333,100.17916666666667,106.23916666666668,101.81249999999999
Псковская область,105.96333333333332,102.58916666666666,104.18833333333333,99.93499999999999,103.76916666666669,102.55833333333334
Республика Карелия,107.2675,96.36333333333334,107.30833333333334,103.5125,102.10833333333333,102.93249999999999
Республика Карелия,107.47416666666668,97.15750000000001,103.20500000000003,103.175,104.65499999999999,103.67833333333333
Республика Карелия,103.31249999999999,100.34499999999998,105.22666666666665,103.38333333333334,104.4575,104.08499999999998
Республика Карелия,105.71499999999999,97.25750000000001,105.07333333333332,103.3775,104.46916666666668,104.09166666666665
Республика Карелия,108.50250000000001,96.72833333333331,103.70333333333332,102.86250000000001,103.41500000000002,102.8575
Республика Карелия,107.8,97.235,103.52500000000002,102.91083333333334,109.22499999999998,102.59166666666668
Республика Карелия,106.63083333333331,97.14916666666666,104.09583333333332,102.14999999999999,107.34916666666665,103.05666666666669
Республика Карелия,106.79416666666668,98.31833333333333,103.13583333333332,101.68583333333335,105.34083333333335,103.03416666666668
Республика Карелия,108.73500000000001,96.46249999999999,103.4425,102.8275,105.05083333333333,103.16416666666667
Республика Коми,102.98,102.21416666666669,101.73333333333335,100.47333333333334,101.3125,102.68166666666667
Республика Коми,99.96500000000002,101.88666666666666,101.30083333333334,99.54583333333333,105.07666666666665,104.10916666666667
Республика Коми,100.21749999999997,101.50083333333333,101.18166666666667,100.09833333333331,104.98916666666668,104.79083333333334
Республика Коми,100.21749999999997,101.50083333333333,101.13916666666667,100.02499999999999,105.01166666666666,104.65750000000001
Республика Коми,99.97416666666668,101.89416666666666,101.3075,99.9833333333333,104.14166666666665,102.69833333333334
Республика Коми,100.76416666666667,101.83,101.51083333333331,100.17666666666668,104.34249999999999,102.7575
