region,year,constr,vrp,prod_index,materials,act_dir,cpi
Санкт-Петербург,2020,113.2,4987.58,99.89,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.89,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.89,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.89,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.89,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.89,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.89,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.89,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.89,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.86,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.99,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.99,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.99,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.99,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.99,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.99,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.99,102.42166666666667,16.666666666666668,104.72
