region,2017,2018,2019,2020,2021,2022
        Калининградская область,101.42,101.21,100.2,99.65,100.71,100.47
        Калининградская область,101.27,101.25,,99.48,100.78,100.68
        Калининградская область,101.42,101.12,99.79,99.71,100.73,100.43
        Калининградская область,101.4,101.07,99.71,99.82,100.72,100.5
        Калининградская область,101.48,101.12,99.66,99.76,100.63,100.4
        Калининградская область,101.35,100.98,99.81,99.76,100.69,100.54
        Калининградская область,101.45,101.16,100.1,99.68,100.44,
        Ленинградская область,101.39,101.19,100.86,99.88,99.56,100.51
        Ленинградская область,100.5,100.68,101.29,99.86,99.63,100.85
        Ленинградская область,100.28,99.05,100.81,99.86,99.72,100.48
        Ленинградская область,101.18,100.56,100.98,99.92,99.28,100.55
        Ленинградская область,101.52,100.63,100.9,99.83,99.37,100.51
        Ленинградская область,98.35,97.32,100.54,100.15,100.05,100.38
        Ленинградская область,101.59,100.75,100.76,99.84,99.73,100.5
        Ленинградская область,100.43,100.77,101.15,99.74,99.4,100.61
        Ленинградская область,100.58,100.69,101.15,99.95,99.84,100.61
        Ленинградская область,100.62,100.94,101.81,99.8,99.44,100.54
        Ленинградская область,100.97,100.6,100.93,99.95,99.62,100.66
        Ленинградская область,100.97,100.6,100.93,99.95,99.62,100.66
        Ленинградская область,100.92,100.9,101.42,99.75,99.95,100.4
        Ленинградская область,100.84,100.55,100.82,99.75,99.97,100.4
        Ленинградская область,101.08,101.48,100.68,99.89,99.73,100.47
        Ленинградская область,103.31,101.04,100.47,99.89,99.74,100.45
        Ленинградская область,102.47,100.74,100.5,99.85,99.68,100.44
        Ленинградская область,100.63,101.6,100.71,99.98,99.63,100.61
        Ленинградская область,100.3,100.75,101.43,99.7,99.84,100.53
        Мурманская область,99.31,100.46,101.54,100.72,100.62,100.65
        Мурманская область,99.32,100.55,101.59,100.64,100.8,100.69
        Мурманская область,99.31,100.61,101.46,100.52,100.97,100.66
        Мурманская область,99.21,100.92,101.02,100.5,100.85,100.85
        Мурманская область,99.24,100.56,102.35,100.69,100.76,100.53
        Мурманская область,99.59,100.32,100.92,101.25,100.84,100.37
        Мурманская область,99.32,100.48,101.72,100.66,100.7,100.75
        Мурманская область,99.47,100.85,101.59,100.65,100.85,100.71
        Мурманская область,99.0,99.86,101.66,100.85,100.73,100.65
        Мурманская область,99.33,100.57,101.85,100.78,100.86,100.49
        Мурманская область,99.12,99.96,101.71,100.71,100.38,100.68
        Мурманская область,99.12,99.96,101.51,100.67,100.42,100.74
        Мурманская область,99.34,100.16,101.27,100.5,100.82,100.57
        Мурманская область,99.39,100.2,101.44,100.57,100.87,100.6
        Мурманская область,99.36,100.26,101.71,100.75,100.71,100.51
        Мурманская область,99.41,100.2,101.91,100.73,100.92,100.55
        Мурманская область,99.27,100.23,101.59,100.71,100.52,100.52
        Мурманская область,99.39,100.3,101.31,100.7,100.73,100.52
        Мурманская область,99.25,99.96,101.71,100.71,100.58,100.63
        Новгородская область,99.3,99.92,101.13,100.35,100.23,101.27
        Новгородская область,99.09,99.8,101.06,100.06,100.04,101.68
        Новгородская область,99.31,99.88,101.12,100.32,100.3,101.27
        Новгородская область,99.3,99.99,101.18,100.73,100.15,101.2
        Новгородская область,99.08,100.45,101.06,100.05,98.39,100.99
        Новгородская область,99.86,100.57,99.86,100.5,99.92,101.1
        Новгородская область,99.14,99.97,101.01,99.94,100.68,101.36
        Новгородская область,99.38,100.16,101.27,100.56,100.51,100.83
        Новгородская область,99.56,99.46,101.41,99.15,100.11,101.71
        Новгородская область,99.35,99.91,101.14,99.63,100.55,101.79
        Новгородская область,99.4,99.42,101.42,99.53,99.7,101.58
        Новгородская область,99.4,99.42,101.42,99.53,99.7,101.58
        Новгородская область,98.88,99.8,101.09,99.52,100.55,101.22
        Новгородская область,99.47,99.96,101.08,101.17,,101.55
        Новгородская область,98.66,99.85,101.19,99.54,100.49,101.55
        Новгородская область,99.08,99.75,101.32,99.67,99.9,101.48
        Новгородская область,99.09,99.7,100.94,100.07,100.27,101.33
        Новгородская область,99.08,99.66,101.48,99.18,100.17,101.73
        Новгородская область,,,,99.53,,101.51
        Псковская область,99.88,99.27,101.23,100.09,100.23,100.04
        Псковская область,99.8,99.08,101.44,100.37,99.63,100.26
        Псковская область,99.84,99.13,101.34,100.33,100.55,100.04
        Псковская область,99.86,99.06,101.53,100.36,100.63,99.98
        Псковская область,99.83,99.09,101.17,100.2,99.58,100.0
        Псковская область,99.97,99.16,100.97,100.09,99.96,100.12
        Псковская область,99.84,99.23,101.26,100.01,101.82,99.92
        Псковская область,99.84,99.0,101.3,99.9,100.0,100.08
        Псковская область,99.36,98.76,101.58,100.47,99.93,100.24
        Псковская область,100.01,99.12,101.59,100.57,101.23,100.09
        Псковская область,99.51,98.94,101.31,100.35,99.6,100.4
        Псковская область,99.51,98.94,101.31,100.35,99.59,100.4
        Псковская область,99.84,99.2,101.33,100.15,100.26,100.14
        Псковская область,,,,,100.32,100.11
        Псковская область,99.81,99.2,101.29,100.4,100.43,100.07
        Псковская область,99.75,99.07,101.34,100.35,99.15,100.18
        Псковская область,99.73,98.84,101.46,100.37,100.14,100.12
        Псковская область,99.52,99.04,101.35,100.44,99.53,100.18
        Псковская область,,,101.31,100.14,100.32,
Санкт-Петербург,99.82,100.29,100.57,99.68,100.46,
Санкт-Петербург,100.42,100.74,100.74,99.89,100.39,100.93
Санкт-Петербург,100.24,100.15,100.77,99.86,100.58,100.7
Санкт-Петербург,100.6,100.27,100.82,99.69,100.29,100.79
Санкт-Петербург,100.65,100.11,100.9,99.86,100.25,100.63
Санкт-Петербург,100.71,94.63,100.28,99.99,100.45,100.45
Санкт-Петербург,100.0,100.37,100.54,99.72,100.79,100.73
Санкт-Петербург,99.79,100.78,100.48,99.89,100.51,100.67
Санкт-Петербург,100.15,100.49,100.59,99.79,100.84,100.91
Санкт-Петербург,100.13,100.37,100.67,99.68,100.75,100.76
Санкт-Петербург,100.14,100.31,100.7,99.87,100.35,100.91
Санкт-Петербург,100.17,100.31,100.69,99.84,100.33,100.91
Санкт-Петербург,100.27,100.32,100.77,99.65,100.88,100.65
Санкт-Петербург,100.14,100.55,100.7,99.65,100.87,100.72
Санкт-Петербург,100.31,100.31,100.67,99.7,100.75,100.7
Санкт-Петербург,100.26,99.7,100.53,99.77,100.24,100.75
Санкт-Петербург,99.99,100.18,100.86,99.75,100.88,100.72
Санкт-Петербург,99.85,100.16,100.62,99.67,100.8,100.73
Санкт-Петербург,100.19,100.35,100.73,99.69,100.66,100.76
